	v
220	0,0006869755620000001
221	-0,00194934812
222	-0,006141349159999999
223	-0,014946733
224	-0,0156502578
225	-0,0343256219
226	-0,0457926621
227	-0,0549762772
228	-0,0600902427
229	-0,0723646637
230	-0,10155387099999999
231	-0,11195766700000001
232	-0,117156331
233	-0,14048417900000001
234	-0,16205241199999998
235	-0,184995094
236	-0,20527454500000006
237	-0,22657951
238	-0,25141932100000003
239	-0,258520354
240	-0,29257533
241	-0,30330851600000003
242	-0,33201891699999997
243	-0,350955622
244	-0,375131527
245	-0,383336895
246	-0,38304812
247	-0,38835172
248	-0,40440277199999997
249	-0,40886680899999994
250	-0,38475905899999996
251	-0,38944765600000003
252	-0,37288299
253	-0,331323804
254	-0,29529832100000003
255	-0,258663297
256	-0,211023213
257	-0,13640935199999998
258	-0,0636450295
259	0,0101066866
260	0,10719941
261	0,19166263600000003
262	0,276215635
263	0,372802852
264	0,4800483320000001
265	0,570040512
266	0,665902168
267	0,7581940090000001
268	0,836399604
269	0,912894433
270	0,9645329159999999
271	1,00536303
272	1,0511138
273	1,06835323
274	1,07511966
275	1,07130967
276	1,04055424
277	1,02042952
278	0,9816078659999998
279	0,9069837140000001
280	0,831550397
281	0,756295158
282	0,646040023
283	0,521469015
284	0,39709196399999996
285	0,288666132
286	0,18100286699999998
287	0,0700728631
288	-0,0415919923
289	-0,115030831
290	-0,205730282
291	-0,26109092899999997
292	-0,295604186
293	-0,318556408
294	-0,31497539199999997
295	-0,310608434
296	-0,301716124
297	-0,272907427
298	-0,24386573
299	-0,216473162
300	-0,198900617
301	-0,19641915399999998
302	-0,176444396
303	-0,180486765
304	-0,18257546300000002
305	-0,19727742899999998
306	-0,22607671499999998
307	-0,239457297
308	-0,24641171899999997
309	-0,262276832
310	-0,274747535
311	-0,284539434
312	-0,288565941
313	-0,266765176
314	-0,263307185
315	-0,251689367
316	-0,23882582599999996
317	-0,223186157
318	-0,20635437900000006
319	-0,205391514
320	-0,192317853
321	-0,17993959399999998
322	-0,180069742
323	-0,16704117300000002
324	-0,158423399
325	-0,151640726
326	-0,139695609
327	-0,131407628
328	-0,11610536
329	-0,109115735
330	-0,088815571
331	-0,08026887320000001
332	-0,0781254706
333	-0,0639078111
334	-0,06320574450000001
335	-0,0664831808
336	-0,0689408157
337	-0,055166467799999994
338	-0,0507843925
339	-0,051160144799999994
340	-0,056847561199999994
341	-0,046236995499999996
342	-0,05748002210000001
343	-0,0675742166
344	-0,0672603489
345	-0,0731828454
346	-0,09052213099999999
347	-0,0830828738
348	-0,0832715889
349	-0,0875353019
350	-0,0930451915
351	-0,10746062200000002
352	-0,103856116
353	-0,09864523830000001
354	-0,0833193448
355	-0,0681773337
356	-0,054452393
357	-0,0325463002
358	-0,0232063368
359	-0,0081186268
360	0,0101027989
361	0,0368742654
362	0,0480039438
363	0,0588855013
364	0,052334627300000006
365	0,05515641219999999
366	0,0695795929
367	0,06783453219999999
368	0,06838247160000001
369	0,0663568737
370	0,0695601894
371	0,0528596323
372	0,047994129100000005
373	0,04899826400000001
374	0,041349619500000004
375	0,029293403000000006
376	0,013141634099999999
377	0,0018010785600000002
378	-0,00287793274
379	-0,015359826400000004
380	-0,023795616600000003
381	-0,0254845765
382	-0,030035370800000006
383	-0,0337339199
384	-0,0397942889
385	-0,0306941478
386	-0,0292091158
387	-0,014303510799999999
388	-0,013512213299999997
389	-0,00767960152
390	-0,0088734083
391	-0,0127470624
392	-0,0143124269
393	-0,0168029726
394	-0,024664363999999998
395	-0,0239085718
396	-0,0212101304
397	-0,0243049201
398	-0,028636183500000006
399	-0,0477596037
400	-0,0559308621
401	-0,06374643440000001
402	-0,07560077
403	-0,07275801
404	-0,0725806289
405	-0,0748641622
406	-0,0796969449
407	-0,0727626966
408	-0,0637975021
409	-0,05547061259999999
410	-0,0505251617
411	-0,0526577395
412	-0,045528957
413	-0,028002322199999995
414	-0,0163235303
415	-0,0213294145
416	-0,00997657092
417	-0,013108414199999998
418	-0,0168720957
419	-0,00581624805
420	-0,006344329729999999
421	-0,00755358775
422	-0,014237175699999998
423	-0,014074168500000001
424	-0,0159717841
425	-0,0167043368
426	-0,0176712931
427	-0,0245680776
428	-0,0164886129
429	-0,0274526845
430	-0,022933447599999997
431	-0,024943555299999996
432	-0,0254253687
433	-0,0242323041
434	-0,0176253283
435	-0,0265826128
436	-0,0237089602
